#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aayen;Aayen;Aayen;Aayen;;Aayen;;;;;;;;;x
b_aayen_adj;Aayenian;;aayener;;;;;;;;;;;x
b_aayen_2;Aayen;Aayen;Aayen;;Aayen;;;;;;;;;x
b_aayen_2_adj;Aayenian;;aayener;;;;;;;;;;;x
b_aayen_3;Aayen;Aayen;Aayen;;Aayen;;;;;;;;;x
b_aayen_3_adj;Aayenian;;aayener;;;;;;;;;;;x
b_aayen_4;Aayen;Aayen;Aayen;;Aayen;;;;;;;;;x
b_aayen_4_adj;Aayenian;;aayener;;;;;;;;;;;x
b_abandoned_thaig;Abandoned thaig;Abandoned thaig;Abandoned thaig;;Abandoned thaig;;;;;;;;;x
b_abandoned_thaig_adj;Abandoned thaigian;;Abandoned thaiger;;;;;;;;;;;x
b_abandoned_thaig_1;Abandoned thaig 1;Abandoned thaig 1;Abandoned thaig 1;;Abandoned thaig 1;;;;;;;;;x
b_abandoned_thaig_1_adj;Abandoned thaig 1ian;;Abandoned thaig 1er;;;;;;;;;;;x
b_abandoned_thaig_10;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_2;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_2_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_3;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_3_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_4;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_4_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_5;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_5_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_6;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_6_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_10_7;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
b_abandoned_thaig_10_7_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
b_abandoned_thaig_11;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_2;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_2_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_3;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_3_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_4;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_4_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_5;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_5_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_6;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_6_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_11_7;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
b_abandoned_thaig_11_7_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
b_abandoned_thaig_12;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_2;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_2_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_3;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_3_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_4;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_4_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_5;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_5_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_6;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_6_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_12_7;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
b_abandoned_thaig_12_7_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
b_abandoned_thaig_13;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_2;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_2_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_3;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_3_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_4;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_4_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_5;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_5_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_6;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_6_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_13_7;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
b_abandoned_thaig_13_7_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
b_abandoned_thaig_14;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_2;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_2_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_3;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_3_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_4;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_4_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_5;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_5_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_6;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_6_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_14_7;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
b_abandoned_thaig_14_7_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
b_abandoned_thaig_15;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_2;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_2_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_3;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_3_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_4;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_4_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_5;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_5_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_6;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_6_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_15_7;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
b_abandoned_thaig_15_7_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
b_abandoned_thaig_16;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_2;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_2_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_3;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_3_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_4;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_4_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_5;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_5_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_6;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_6_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_16_7;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
b_abandoned_thaig_16_7_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
b_abandoned_thaig_17;Abandoned thaig 17;Abandoned thaig 17;Abandoned thaig 17;;Abandoned thaig 17;;;;;;;;;x
b_abandoned_thaig_17_adj;Abandoned thaig 17ian;;Abandoned thaig 17er;;;;;;;;;;;x
b_abandoned_thaig_17_2;Abandoned thaig 17;Abandoned thaig 17;Abandoned thaig 17;;Abandoned thaig 17;;;;;;;;;x
b_abandoned_thaig_17_2_adj;Abandoned thaig 17ian;;Abandoned thaig 17er;;;;;;;;;;;x
