#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aayen;Aayen;Aayen;Aayen;;Aayen;;;;;;;;;x
c_aayen_adj;Aayenian;;aayener;;;;;;;;;;;x
c_abandoned_thaig;Abandoned thaig;Abandoned thaig;Abandoned thaig;;Abandoned thaig;;;;;;;;;x
c_abandoned_thaig_adj;Abandoned thaigian;;Abandoned thaiger;;;;;;;;;;;x
c_abandoned_thaig_1;Abandoned thaig 1;Abandoned thaig 1;Abandoned thaig 1;;Abandoned thaig 1;;;;;;;;;x
c_abandoned_thaig_1_adj;Abandoned thaig 1ian;;Abandoned thaig 1er;;;;;;;;;;;x
c_abandoned_thaig_10;Abandoned thaig 10;Abandoned thaig 10;Abandoned thaig 10;;Abandoned thaig 10;;;;;;;;;x
c_abandoned_thaig_10_adj;Abandoned thaig 10ian;;Abandoned thaig 10er;;;;;;;;;;;x
c_abandoned_thaig_11;Abandoned thaig 11;Abandoned thaig 11;Abandoned thaig 11;;Abandoned thaig 11;;;;;;;;;x
c_abandoned_thaig_11_adj;Abandoned thaig 11ian;;Abandoned thaig 11er;;;;;;;;;;;x
c_abandoned_thaig_12;Abandoned thaig 12;Abandoned thaig 12;Abandoned thaig 12;;Abandoned thaig 12;;;;;;;;;x
c_abandoned_thaig_12_adj;Abandoned thaig 12ian;;Abandoned thaig 12er;;;;;;;;;;;x
c_abandoned_thaig_13;Abandoned thaig 13;Abandoned thaig 13;Abandoned thaig 13;;Abandoned thaig 13;;;;;;;;;x
c_abandoned_thaig_13_adj;Abandoned thaig 13ian;;Abandoned thaig 13er;;;;;;;;;;;x
c_abandoned_thaig_14;Abandoned thaig 14;Abandoned thaig 14;Abandoned thaig 14;;Abandoned thaig 14;;;;;;;;;x
c_abandoned_thaig_14_adj;Abandoned thaig 14ian;;Abandoned thaig 14er;;;;;;;;;;;x
c_abandoned_thaig_15;Abandoned thaig 15;Abandoned thaig 15;Abandoned thaig 15;;Abandoned thaig 15;;;;;;;;;x
c_abandoned_thaig_15_adj;Abandoned thaig 15ian;;Abandoned thaig 15er;;;;;;;;;;;x
c_abandoned_thaig_16;Abandoned thaig 16;Abandoned thaig 16;Abandoned thaig 16;;Abandoned thaig 16;;;;;;;;;x
c_abandoned_thaig_16_adj;Abandoned thaig 16ian;;Abandoned thaig 16er;;;;;;;;;;;x
c_abandoned_thaig_17;Abandoned thaig 17;Abandoned thaig 17;Abandoned thaig 17;;Abandoned thaig 17;;;;;;;;;x
c_abandoned_thaig_17_adj;Abandoned thaig 17ian;;Abandoned thaig 17er;;;;;;;;;;;x
c_abandoned_thaig_18;Abandoned thaig 18;Abandoned thaig 18;Abandoned thaig 18;;Abandoned thaig 18;;;;;;;;;x
c_abandoned_thaig_18_adj;Abandoned thaig 18ian;;Abandoned thaig 18er;;;;;;;;;;;x
c_abandoned_thaig_19;Abandoned thaig 19;Abandoned thaig 19;Abandoned thaig 19;;Abandoned thaig 19;;;;;;;;;x
c_abandoned_thaig_19_adj;Abandoned thaig 19ian;;Abandoned thaig 19er;;;;;;;;;;;x
c_abandoned_thaig_2;Abandoned thaig 2;Abandoned thaig 2;Abandoned thaig 2;;Abandoned thaig 2;;;;;;;;;x
c_abandoned_thaig_2_adj;Abandoned thaig 2ian;;Abandoned thaig 2er;;;;;;;;;;;x
c_abandoned_thaig_20;Abandoned thaig 20;Abandoned thaig 20;Abandoned thaig 20;;Abandoned thaig 20;;;;;;;;;x
c_abandoned_thaig_20_adj;Abandoned thaig 20ian;;Abandoned thaig 20er;;;;;;;;;;;x
c_abandoned_thaig_21;Abandoned thaig 21;Abandoned thaig 21;Abandoned thaig 21;;Abandoned thaig 21;;;;;;;;;x
c_abandoned_thaig_21_adj;Abandoned thaig 21ian;;Abandoned thaig 21er;;;;;;;;;;;x
c_abandoned_thaig_22;Abandoned thaig 22;Abandoned thaig 22;Abandoned thaig 22;;Abandoned thaig 22;;;;;;;;;x
c_abandoned_thaig_22_adj;Abandoned thaig 22ian;;Abandoned thaig 22er;;;;;;;;;;;x
c_abandoned_thaig_23;Abandoned thaig 23;Abandoned thaig 23;Abandoned thaig 23;;Abandoned thaig 23;;;;;;;;;x
