#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_acteinea;Acteinea;Acteinea;Acteinea;;Acteinea;;;;;;;;;x
d_acteinea_adj;Acteinean;;acteiner;;;;;;;;;;;x
d_aesis;Aesis;Aesis;Aesis;;Aesis;;;;;;;;;x
d_aesis_adj;Aesisian;;aesiser;;;;;;;;;;;x
d_akhebar;Akhebar;Akhebar;Akhebar;;Akhebar;;;;;;;;;x
d_akhebar_adj;Akhebarian;;akhebarer;;;;;;;;;;;x
d_akyreum;Akyreum;Akyreum;Akyreum;;Akyreum;;;;;;;;;x
d_akyreum_adj;Akyreumian;;akyreumer;;;;;;;;;;;x
d_alam;Alam;Alam;Alam;;Alam;;;;;;;;;x
d_alam_adj;Alamian;;alamer;;;;;;;;;;;x
d_alyons;Alyons;Alyons;Alyons;;Alyons;;;;;;;;;x
d_alyons_adj;Alyonsian;;alyonser;;;;;;;;;;;x
d_amaranthine;Amaranthine;Amaranthine;Amaranthine;;Amaranthine;;;;;;;;;x
d_amaranthine_adj;Amaranthinean;;amaranthiner;;;;;;;;;;;x
d_andoral_march;Andoral march;Andoral march;Andoral march;;Andoral march;;;;;;;;;x
d_andoral_march_adj;Andoral marchian;;Andoral marcher;;;;;;;;;;;x
d_andorals_reach;Andoral's Reach;Andoral's Reach;Andoral's Reach;;Andoral's Reach;;;;;;;;;x
d_andorals_reach_adj;Andoral's Reachian;;Andoral's Reacher;;;;;;;;;;;x
d_angarrak;Angarrak;Angarrak;Angarrak;;Angarrak;;;;;;;;;x
d_angarrak_adj;Angarrakian;;angarraker;;;;;;;;;;;x
d_ansburg;Ansburg;Ansburg;Ansburg;;Ansburg;;;;;;;;;x
d_ansburg_adj;Ansburgian;;ansburger;;;;;;;;;;;x
d_antiva;Antiva;Antiva;Antiva;;Antiva;;;;;;;;;x
d_antiva_adj;Antivan;;antiver;;;;;;;;;;;x
d_areo;Areo;Areo;Areo;;Areo;;;;;;;;;x
d_areo_adj;Arian;;arer;;;;;;;;;;;x
d_arlesans;Arlesans;Arlesans;Arlesans;;Arlesans;;;;;;;;;x
d_arlesans_adj;Arlesansian;;arlesanser;;;;;;;;;;;x
d_asariel;Asariel;Asariel;Asariel;;Asariel;;;;;;;;;x
d_asariel_adj;Asarielian;;asarieler;;;;;;;;;;;x
d_ashkiri;Ashkiri;Ashkiri;Ashkiri;;Ashkiri;;;;;;;;;x
d_ashkiri_adj;Ashkirian;;ashkirer;;;;;;;;;;;x
d_ayesleigh;Ayesleigh;Ayesleigh;Ayesleigh;;Ayesleigh;;;;;;;;;x
d_ayesleigh_adj;Ayesleighian;;ayesleigher;;;;;;;;;;;x
d_boeric_arrecife;Boeric Arrecife;Boeric Arrecife;Boeric Arrecife;;Boeric Arrecife;;;;;;;;;x
d_boeric_arrecife_adj;Boeric Arrecifean;;Boeric Arrecifer;;;;;;;;;;;x
d_boeric_islands;Boeric Islands;Boeric Islands;Boeric Islands;;Boeric Islands;;;;;;;;;x
d_boeric_islands_adj;Boeric Islandsian;;Boeric Islandser;;;;;;;;;;;x
d_bowammar;Bowammar;Bowammar;Bowammar;;Bowammar;;;;;;;;;x
d_bowammar_adj;Bowammarian;;bowammarer;;;;;;;;;;;x
d_brandels_reach;Brandel's reach;Brandel's reach;Brandel's reach;;Brandel's reach;;;;;;;;;x
d_brandels_reach_adj;Brandel's reachian;;Brandel's reacher;;;;;;;;;;;x
d_brecilias_pass;Brecilia's Pass;Brecilia's Pass;Brecilia's Pass;;Brecilia's Pass;;;;;;;;;x
d_brecilias_pass_adj;Brecilia's Passian;;Brecilia's Passer;;;;;;;;;;;x
d_brynnlaw;Brynnlaw;Brynnlaw;Brynnlaw;;Brynnlaw;;;;;;;;;x
d_brynnlaw_adj;Brynnlawian;;brynnlawer;;;;;;;;;;;x
d_carastes;Carastes;Carastes;Carastes;;Carastes;;;;;;;;;x
d_carastes_adj;Carastesian;;carasteser;;;;;;;;;;;x
d_central_donnarks;Central Donnarks;Central Donnarks;Central Donnarks;;Central Donnarks;;;;;;;;;x
d_central_donnarks_adj;Central Donnarksian;;Central Donnarkser;;;;;;;;;;;x
d_churneau;Churneau;Churneau;Churneau;;Churneau;;;;;;;;;x
d_churneau_adj;Churnian;;churner;;;;;;;;;;;x
d_claose;Claose;Claose;Claose;;Claose;;;;;;;;;x
d_claose_adj;Claosean;;claoser;;;;;;;;;;;x
d_colean_cape;Colean Cape;Colean Cape;Colean Cape;;Colean Cape;;;;;;;;;x
d_colean_cape_adj;Colean Capean;;Colean Caper;;;;;;;;;;;x
d_cumberland;Cumberland;Cumberland;Cumberland;;Cumberland;;;;;;;;;x
d_cumberland_adj;Cumberlandian;;cumberlander;;;;;;;;;;;x
d_dairsmuid;Dairsmuid;Dairsmuid;Dairsmuid;;Dairsmuid;;;;;;;;;x
d_dairsmuid_adj;Dairsmuidian;;dairsmuider;;;;;;;;;;;x
d_darmallon;Darmallon;Darmallon;Darmallon;;Darmallon;;;;;;;;;x
d_darmallon_adj;Darmallonian;;darmalloner;;;;;;;;;;;x
d_deauvin_flats;Deauvin Flats;Deauvin Flats;Deauvin Flats;;Deauvin Flats;;;;;;;;;x
d_deauvin_flats_adj;Deauvin Flatsian;;Deauvin Flatser;;;;;;;;;;;x
