#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_antiva;Antiva;Antiva;Antiva;;Antiva;;;;;;;;;x
k_antiva_adj;Antivan;;antiver;;;;;;;;;;;x
k_arlathan;Arlathan;Arlathan;Arlathan;;Arlathan;;;;;;;;;x
k_arlathan_adj;Arlathanian;;arlathaner;;;;;;;;;;;x
k_brecilia_forest;Brecilia Forest;Brecilia Forest;Brecilia Forest;;Brecilia Forest;;;;;;;;;x
k_brecilia_forest_adj;Brecilia Forestian;;Brecilia Forester;;;;;;;;;;;x
k_cumberland;Cumberland;Cumberland;Cumberland;;Cumberland;;;;;;;;;x
k_cumberland_adj;Cumberlandian;;cumberlander;;;;;;;;;;;x
k_eastern_holds;Eastern Holds;Eastern Holds;Eastern Holds;;Eastern Holds;;;;;;;;;x
k_eastern_holds_adj;Eastern Holdsian;;Eastern Holdser;;;;;;;;;;;x
k_eastern_marches;Eastern Marches;Eastern Marches;Eastern Marches;;Eastern Marches;;;;;;;;;x
k_eastern_marches_adj;Eastern Marchesian;;Eastern Marcheser;;;;;;;;;;;x
k_gumdar;Gumdar;Gumdar;Gumdar;;Gumdar;;;;;;;;;x
k_gumdar_adj;Gumdarian;;gumdarer;;;;;;;;;;;x
k_gwaren;Gwaren;Gwaren;Gwaren;;Gwaren;;;;;;;;;x
k_gwaren_adj;Gwarenian;;gwarener;;;;;;;;;;;x
k_higlands;Higlands;Higlands;Higlands;;Higlands;;;;;;;;;x
k_higlands_adj;Higlandsian;;higlandser;;;;;;;;;;;x
k_hormak;Hormak;Hormak;Hormak;;Hormak;;;;;;;;;x
k_hormak_adj;Hormakian;;hormaker;;;;;;;;;;;x
k_hossberg;Hossberg;Hossberg;Hossberg;;Hossberg;;;;;;;;;x
k_hossberg_adj;Hossbergian;;hossberger;;;;;;;;;;;x
k_hundred_pillars;Hundred Pillars;Hundred Pillars;Hundred Pillars;;Hundred Pillars;;;;;;;;;x
k_hundred_pillars_adj;Hundred Pillarsian;;Hundred Pillarser;;;;;;;;;;;x
k_kal_sharok;Kal-Sharok;Kal-Sharok;Kal-Sharok;;Kal-Sharok;;;;;;;;;x
k_kal_sharok_adj;Kal-Sharokian;;kal-sharoker;;;;;;;;;;;x
k_kirkwall;Kirkwall;Kirkwall;Kirkwall;;Kirkwall;;;;;;;;;x
k_kirkwall_adj;Kirkwallian;;kirkwaller;;;;;;;;;;;x
k_korcari_wilds;Korcari Wilds;Korcari Wilds;Korcari Wilds;;Korcari Wilds;;;;;;;;;x
k_korcari_wilds_adj;Korcari Wildsian;;Korcari Wildser;;;;;;;;;;;x
k_nahashin_marshes;Nahashin Marshes;Nahashin Marshes;Nahashin Marshes;;Nahashin Marshes;;;;;;;;;x
k_nahashin_marshes_adj;Nahashin Marshesian;;Nahashin Marsheser;;;;;;;;;;;x
k_neromenian;Neromenian;Neromenian;Neromenian;;Neromenian;;;;;;;;;x
k_neromenian_adj;Neromenianian;;neromenianer;;;;;;;;;;;x
k_nevarra;Nevarra;Nevarra;Nevarra;;Nevarra;;;;;;;;;x
k_nevarra_adj;Nevarran;;nevarrer;;;;;;;;;;;x
k_nordbotton;Nordbotton;Nordbotton;Nordbotton;;Nordbotton;;;;;;;;;x
k_nordbotton_adj;Nordbottonian;;nordbottoner;;;;;;;;;;;x
k_orzammar;Orzammar;Orzammar;Orzammar;;Orzammar;;;;;;;;;x
k_orzammar_adj;Orzammarian;;orzammarer;;;;;;;;;;;x
k_par_vollen;Par Vollen;Par Vollen;Par Vollen;;Par Vollen;;;;;;;;;x
k_par_vollen_adj;Par Vollenian;;Par Vollener;;;;;;;;;;;x
k_perendale;Perendale;Perendale;Perendale;;Perendale;;;;;;;;;x
k_perendale_adj;Perendalean;;perendaler;;;;;;;;;;;x
